Unnamed: 0,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,196,197,197,191,375,375,370,366,366,362,362,362
Reserves,50439,70875,86017,84937,89071,83751,86063,88773,90058,90127,94394,106878
Borrowings +,358,245,289,247,62,8174,7795,7818,7688,8021,9392,11283
Other Liabilities +,22325,16974,15830,19751,24393,27827,35764,43967,44747,46962,54501,62644
Total Liabilities,73318,88291,102333,105126,113901,120127,129992,140924,142859,145472,158649,181167
Fixed Assets +,11638,11774,11701,11973,12290,20928,21021,21298,20515,19604,23053,31343
CWIP,2766,1670,1541,1278,963,906,926,1205,1234,1564,1546,2665
Investments,1662,22822,41980,36008,29330,26356,29373,30485,37163,31762,30964,33988
Other Assets +,57252,52025,47111,55867,71318,71937,78672,87936,83947,92542,103086,113171
Total Assets,73318,88291,102333,105126,113901,120127,129992,140924,142859,145472,158649,181167
